ac_type_id,ac_type_cleaned,ac_category
127,Antonov AN-26-100,Cargo and Transport Aircraft
128,Antonov AN-26A,Cargo and Transport Aircraft
129,Antonov AN-26B,Cargo and Transport Aircraft
130,Antonov AN-26SH,Cargo and Transport Aircraft
131,Antonov AN-26V,Cargo and Transport Aircraft
132,Antonov AN-28,Cargo and Transport Aircraft
133,Antonov AN-2R,Cargo and Transport Aircraft
134,Antonov AN-2T,Cargo and Transport Aircraft
135,Antonov AN-2TP,Cargo and Transport Aircraft
136,Antonov AN-32,Cargo and Transport Aircraft
137,Antonov AN-32A,Cargo and Transport Aircraft
138,Antonov AN-32B,Cargo and Transport Aircraft
139,Antonov AN-72,Cargo and Transport Aircraft
140,Antonov AN-72-100D,Cargo and Transport Aircraft
141,Antonov AN-8,Cargo and Transport Aircraft
142,Antonov AN-9,Cargo and Transport Aircraft
143,Antonov An 26B-100,Cargo and Transport Aircraft
144,Arado V1,Specialized or Experimental Aircraft
145,Arava 201,Cargo and Transport Aircraft
146,Armstrong Whitworth Argosy II,Cargo and Transport Aircraft
147,Armstrong Whitworth F-K-8,Cargo and Transport Aircraft
148,Armstrong Withworth Atlanta,Cargo and Transport Aircraft
149,Avia 14,General Aviation and Private Aircraft
150,Avia 14-40,General Aviation and Private Aircraft
151,Avia 14M-40,General Aviation and Private Aircraft
152,Avia 14T,General Aviation and Private Aircraft
153,Aviation Traders ATL-98 Carvair,Cargo and Transport Aircraft
154,Avro 10,Vintage Aircraft
155,Avro 504,Vintage Aircraft
156,Avro 683 Lancaster,Cargo and Transport Aircraft
157,Avro 685 York C1,Cargo and Transport Aircraft
158,Avro 685 York I,Cargo and Transport Aircraft
159,Avro 688,Cargo and Transport Aircraft
160,Avro 688 Super Trader,Cargo and Transport Aircraft
161,Avro 688 Tudor 4B,Cargo and Transport Aircraft
162,Avro 688 Tudor I,Cargo and Transport Aircraft
163,Avro 689 Tudor 5,Cargo and Transport Aircraft
164,Avro 691 Lancastrian,Cargo and Transport Aircraft
165,Avro 691 Lancastrian 1,Cargo and Transport Aircraft
166,Avro 691 Lancastrian 3,Cargo and Transport Aircraft
167,Avro 691 Lancastrian IV,Cargo and Transport Aircraft
168,Avro Anson,Cargo and Transport Aircraft
169,Avro Lancaster,Cargo and Transport Aircraft
170,Avro Lancaster 1,Cargo and Transport Aircraft
171,Avro Ninteen I,Vintage Aircraft
172,Avro RJ-85,Civilian Passenger Aircraft
173,Avro Shackleton AEW-2,Specialized or Experimental Aircraft
174,Avro Shackleton M-2,Specialized or Experimental Aircraft
175,Avro Shackleton MR-1,Specialized or Experimental Aircraft
176,Avro Shackleton MR-2,Specialized or Experimental Aircraft
177,B17C Flying Fortress,Vintage Aircraft
178,B17G Flying Fortress,Vintage Aircraft
179,BAC One Eleven 204AF,Civilian Passenger Aircraft
180,BAC One-Eleven 200AB,Civilian Passenger Aircraft
181,BAC One-Eleven 203AE,Civilian Passenger Aircraft
182,BAC One-Eleven 402AP,Civilian Passenger Aircraft
183,BAC One-Eleven 420EL,Civilian Passenger Aircraft
184,BAC One-Eleven 424EU,Civilian Passenger Aircraft
185,BAC One-Eleven 515FB,Civilian Passenger Aircraft
186,BAC One-Eleven 516FP,Civilian Passenger Aircraft
187,BAC One-Eleven 524FF,Civilian Passenger Aircraft
188,BAC One-Eleven 525FT,Civilian Passenger Aircraft
189,BAC One-Eleven 527FK,Civilian Passenger Aircraft
190,BAC One-Eleven 528FL,Civilian Passenger Aircraft
191,BAC One-Eleven 529FR,Civilian Passenger Aircraft
192,BAC Super VC-10 1154,Civilian Passenger Aircraft
193,BAC VC-10-1101,Civilian Passenger Aircraft
194,BAe 125-700A,Civilian Passenger Aircraft
195,BAe 125-700A Hawker,Civilian Passenger Aircraft
