ac_type_id,ac_type_cleaned,ac_category
547,Boeing RC-135E,Cargo and Transport Aircraft
548,Boeing RC-135S,Cargo and Transport Aircraft
549,Boeing RC-135T,Cargo and Transport Aircraft
550,Boeing TB-29A,Military Fighter Aircraft
551,Boeing Vertol CH-2,Helicopters
552,Boeing Vertol CH-47,Helicopters
553,Boeing Vertol CH-47A,Helicopters
554,Boeing Vertol CH-47C,Helicopters
555,Boeing Vertol CH47A,Helicopters
556,Boeing Vertol CH47B,Helicopters
557,Boeing Vertol CH47C,Helicopters
558,Boeing Vetrol 107 II,Helicopters
559,Boeing XB-29,Military Fighter Aircraft
560,Bombardier CRJ200,Civilian Passenger Aircraft
561,Bombardier DHC-8-402 Q400,Civilian Passenger Aircraft
562,Boulton and Paul P-71,Vintage Aircraft
563,Breguet 14,Vintage Aircraft
564,Breguet 280T,Cargo and Transport Aircraft
565,Bristol 170 Freighter 21,Cargo and Transport Aircraft
566,Bristol 170 Freighter 21E,Cargo and Transport Aircraft
567,Bristol 170 Freighter 31,Cargo and Transport Aircraft
568,Bristol 170 Freighter 31 Mark II,Cargo and Transport Aircraft
569,Bristol 170 Freighter 31E,Cargo and Transport Aircraft
570,Bristol 170 Freighter 31M,Cargo and Transport Aircraft
571,Bristol 170 Freighter I,Cargo and Transport Aircraft
572,Bristol 170 Freighter XI,Cargo and Transport Aircraft
573,Bristol 175 Britannia 312,Cargo and Transport Aircraft
574,Bristol 28 Tourer,Vintage Aircraft
575,Bristol Britannia 102,Cargo and Transport Aircraft
576,Bristol Britannia 175,Cargo and Transport Aircraft
577,Bristol Britannia 312,Cargo and Transport Aircraft
578,Bristol Britannia 314,Cargo and Transport Aircraft
579,British Aerospace BAe Jetstream 32EP,Civilian Passenger Aircraft
580,Britten Norman BN-2A Trislander,Civilian Passenger Aircraft
581,Britten Norman BN-2A-20 Trislander,Civilian Passenger Aircraft
582,Britten Norman BN-2A-21 Trislander,Civilian Passenger Aircraft
583,Britten Norman BN-2A-26,Civilian Passenger Aircraft
584,Britten Norman BN-2A-26 Trislander,Civilian Passenger Aircraft
585,Britten Norman BN-2A-27 Islander,Civilian Passenger Aircraft
586,Britten Norman BN-2A-3 Islander,Civilian Passenger Aircraft
587,Britten Norman BN-2B Trislander,Civilian Passenger Aircraft
588,Britten Norman BN-7A lslander,Civilian Passenger Aircraft
589,Britten-Norman BN-2 Islander,Civilian Passenger Aircraft
590,Britten-Norman BN-2A Islander,Civilian Passenger Aircraft
591,Britten-Norman BN-2A-20 Islander,Civilian Passenger Aircraft
592,Britten-Norman BN-2A-21,Civilian Passenger Aircraft
593,Britten-Norman BN-2A-21 Islander,Civilian Passenger Aircraft
594,Britten-Norman BN-2A-21 Trislander,Civilian Passenger Aircraft
595,Britten-Norman BN-2A-26 Islander,Civilian Passenger Aircraft
596,Britten-Norman BN-2A-26 Trislander,Civilian Passenger Aircraft
597,Britten-Norman BN-2A-27 Islander,Civilian Passenger Aircraft
598,Britten-Norman BN-2A-3 Islander,Civilian Passenger Aircraft
599,Britten-Norman BN-2A-6,Civilian Passenger Aircraft
600,Britten-Norman BN-2A-6 Islander,Civilian Passenger Aircraft
601,Britten-Norman BN-2A-8 Island,Civilian Passenger Aircraft
602,Britten-Norman BN-2A-8 Islander,Civilian Passenger Aircraft
603,Britten-Norman BN-2A-8 Trislander,Civilian Passenger Aircraft
604,Britten-Norman BN-2A-9 Islander,Civilian Passenger Aircraft
605,Britten-Norman BN-2B-21 Islander,Civilian Passenger Aircraft
606,Britten-Norman BN-2B-26 Islander,Civilian Passenger Aircraft
607,Britten-Norman BN-2B-27 Islander,Civilian Passenger Aircraft
608,Budd RB-1 Conestoga,Cargo and Transport Aircraft
609,Burgess RV-6 experimental,Specialized or Experimental Aircraft
610,C-46,Cargo and Transport Aircraft
611,C-47,Cargo and Transport Aircraft
612,CAMS 53,Cargo and Transport Aircraft
613,CAMS 56,Cargo and Transport Aircraft
614,CANT Z-506,Cargo and Transport Aircraft
615,CASA 212-100,Cargo and Transport Aircraft
616,CASA 212-200,Cargo and Transport Aircraft
617,CASA 212-300,Cargo and Transport Aircraft
618,CASA 212-A3-100,Cargo and Transport Aircraft
619,CASA 212-CC,Cargo and Transport Aircraft
620,CASA 212-DE-200,Cargo and Transport Aircraft
621,CASA 212-MP-200,Cargo and Transport Aircraft
622,CASA 212-S1-100,Cargo and Transport Aircraft
623,CASA 235-100,Cargo and Transport Aircraft
624,CASA 235-200,Cargo and Transport Aircraft
625,CASA 235M-100,Cargo and Transport Aircraft
626,CASA 352,Cargo and Transport Aircraft
627,CASA C-212-300DF,Cargo and Transport Aircraft
628,CASA C-295M,Cargo and Transport Aircraft
629,CF-100 Mark 4B,Military Fighter Aircraft
630,CMASA Wal,Cargo and Transport Aircraft
631,Cams 53,Specialized or Experimental Aircraft
632,Canadair C-4 Argonaut,Cargo and Transport Aircraft
633,Canadair C-4-1 Northstar / Harvard Mark II,Cargo and Transport Aircraft
634,Canadair CL-44,Cargo and Transport Aircraft
635,Canadair CL-44D4-1,Cargo and Transport Aircraft
636,Canadair CL-44D4-2,Cargo and Transport Aircraft
637,Canadair CL-44D4-6,Cargo and Transport Aircraft
638,Canadair CL-44J,Cargo and Transport Aircraft
639,Canadair CL-600 CRJ-100ER,Civilian Passenger Aircraft
640,Canadair CL-600-2B16 Challenger,Civilian Passenger Aircraft
641,Canadair CL-601-2A12 Challenger,Civilian Passenger Aircraft
642,Canadair CL-604,Civilian Passenger Aircraft
643,Canadair CP-107 MK-2,Military Fighter Aircraft
644,Canadair CRJ-100ER,Civilian Passenger Aircraft
645,Canadair CRJ-200,Civilian Passenger Aircraft
646,Canadair CRJ-200ER,Civilian Passenger Aircraft
647,Canadair CRJ200LR RegionalJet,Civilian Passenger Aircraft
648,Canadair DC-4M-2 Northstar,Cargo and Transport Aircraft
649,Caproni Ca.48,Cargo and Transport Aircraft
650,Caravelle 10B3,Civilian Passenger Aircraft
651,Caravelle 10R,Civilian Passenger Aircraft
652,Caravelle 3,Civilian Passenger Aircraft
653,Caravelle 6N,Civilian Passenger Aircraft
654,Caravelle 6R,Civilian Passenger Aircraft
655,Caravelle SE-210,Civilian Passenger Aircraft
656,Caravelle Super 10B,Civilian Passenger Aircraft
657,Caravelle VIR,Civilian Passenger Aircraft
658,Casa 212-AB10,Cargo and Transport Aircraft
659,Catalina Flying Boat,Cargo and Transport Aircraft
660,Caudron C-61,General Aviation and Private Aircraft
661,Caudron C-630 Simoun,General Aviation and Private Aircraft
662,Caudron C.635 Simoun,General Aviation and Private Aircraft
663,Cessna  208B Grand Caravan,Cargo and Transport Aircraft
664,Cessna  501 Citation,Civilian Passenger Aircraft
665,Cessna 172H,General Aviation and Private Aircraft
666,Cessna 177B,General Aviation and Private Aircraft
667,Cessna 177RG,General Aviation and Private Aircraft
668,Cessna 180H,General Aviation and Private Aircraft
669,Cessna 185,General Aviation and Private Aircraft
670,Cessna 185A,General Aviation and Private Aircraft
671,Cessna 206,General Aviation and Private Aircraft
672,Cessna 207,General Aviation and Private Aircraft
673,Cessna 207 / Cessna 207,General Aviation and Private Aircraft
674,Cessna 207A,General Aviation and Private Aircraft
675,Cessna 208 Caravan,Cargo and Transport Aircraft
676,Cessna 208 Grand Caravan,Cargo and Transport Aircraft
677,Cessna 208B Caravan I,Cargo and Transport Aircraft
678,Cessna 208B Grand Caravan,Cargo and Transport Aircraft
679,Cessna 310C,General Aviation and Private Aircraft
680,Cessna 335,General Aviation and Private Aircraft
681,Cessna 402,Civilian Passenger Aircraft
682,Cessna 402B,Civilian Passenger Aircraft
683,Cessna 402C,Civilian Passenger Aircraft
684,Cessna 404 Titan,Civilian Passenger Aircraft
685,Cessna 404 Titan II,Civilian Passenger Aircraft
686,Cessna 421,Civilian Passenger Aircraft
687,Cessna 421C Golden Eagle,Civilian Passenger Aircraft
688,Cessna 441 Conquest,Civilian Passenger Aircraft
689,Cessna 441 Conquest II,Civilian Passenger Aircraft
690,Cessna 500 Citation I,Civilian Passenger Aircraft
691,Cessna 501 Citation,Civilian Passenger Aircraft
692,Cessna 550 Citation II,Civilian Passenger Aircraft
693,Cessna 560 Citation V,Civilian Passenger Aircraft
694,Cessna T207A,General Aviation and Private Aircraft
695,Chance Vought F-8E,Military Fighter Aircraft
696,Channel Air Bridge,Civilian Passenger Aircraft
697,Consolidated  PBY-5A Catalina,General Aviation and Private Aircraft
698,Consolidated 32-2 Liberator I,Military Fighter Aircraft
699,Consolidated 32-2 Liberator II,Military Fighter Aircraft
700,Consolidated 32-3 Liberator II,Military Fighter Aircraft
701,Consolidated B-24,Military Fighter Aircraft
702,Consolidated B-24H,Military Fighter Aircraft
703,Consolidated B-24J,Military Fighter Aircraft
704,Consolidated C-87,Cargo and Transport Aircraft
705,Consolidated Canso (amphibian),General Aviation and Private Aircraft
706,Consolidated Catalina,Civilian Passenger Aircraft
707,Consolidated Fleetster,General Aviation and Private Aircraft
708,Consolidated LB-30-A Liberator,Military Fighter Aircraft
709,Consolidated LB-30A Liberator,Military Fighter Aircraft
710,Consolidated LB-40-A Liberator,Military Fighter Aircraft
711,Consolidated Liberator,Military Fighter Aircraft
712,Consolidated OA-10 Catalina,General Aviation and Private Aircraft
713,Consolidated PB4Y-1,General Aviation and Private Aircraft
714,Consolidated PBY Catalina,General Aviation and Private Aircraft
715,Consolidated PBY-2 / Consolidated PBY-2,General Aviation and Private Aircraft
716,Consolidated PBY-5 Catalina,General Aviation and Private Aircraft
717,Consolidated PBY-5A  Catalina,General Aviation and Private Aircraft
718,Consolidated PBY-5A Catalina,General Aviation and Private Aircraft
719,Consolidated PBY4-2,General Aviation and Private Aircraft
720,Convair 600,Civilian Passenger Aircraft
721,Convair B-36,Military Fighter Aircraft
722,Convair B-36D,Military Fighter Aircraft
723,Convair CV-240,Civilian Passenger Aircraft
724,Convair CV-240-12,Civilian Passenger Aircraft
725,Convair CV-240-2,Civilian Passenger Aircraft
726,Convair CV-240-4,Civilian Passenger Aircraft
727,Convair CV-240-53,Civilian Passenger Aircraft
728,Convair CV-240-7,Civilian Passenger Aircraft
729,Convair CV-300,Civilian Passenger Aircraft
730,Convair CV-340,Civilian Passenger Aircraft
731,Convair CV-340-32,Civilian Passenger Aircraft
732,Convair CV-340-58,Civilian Passenger Aircraft
733,Convair CV-340-59,Civilian Passenger Aircraft
734,Convair CV-340-62,Civilian Passenger Aircraft
735,Convair CV-340-68B,Civilian Passenger Aircraft
736,Convair CV-340-79,Civilian Passenger Aircraft
737,Convair CV-440,Civilian Passenger Aircraft
738,Convair CV-440-11,Civilian Passenger Aircraft
739,Convair CV-440-12,Civilian Passenger Aircraft
740,Convair CV-440-59,Civilian Passenger Aircraft
741,Convair CV-440-62,Civilian Passenger Aircraft
742,Convair CV-440-80,Civilian Passenger Aircraft
743,Convair CV-440F,Civilian Passenger Aircraft
744,Convair CV-580,Civilian Passenger Aircraft
745,Convair CV-580F,Civilian Passenger Aircraft
746,Convair CV-640,Civilian Passenger Aircraft
747,Convair CV-880,Civilian Passenger Aircraft
748,Convair CV-880-22-1,Civilian Passenger Aircraft
749,Convair CV-880-22M-21,Civilian Passenger Aircraft
750,Convair CV-880-22M-3,Civilian Passenger Aircraft
751,Convair CV-990-30A-5,Civilian Passenger Aircraft
752,Convair CV-990-30A-6,Civilian Passenger Aircraft
753,Convair RB-36H,Military Fighter Aircraft
754,Curtiss AT-32C Condor,General Aviation and Private Aircraft
755,Curtiss C-46,Cargo and Transport Aircraft
756,Curtiss C-46A,Cargo and Transport Aircraft
757,Curtiss C-46A-40,Cargo and Transport Aircraft
758,Curtiss C-46A-45,Cargo and Transport Aircraft
759,Curtiss C-46A-50,Cargo and Transport Aircraft
760,Curtiss C-46A-55,Cargo and Transport Aircraft
761,Curtiss C-46A-55-CK,Cargo and Transport Aircraft
762,Curtiss C-46A-60-CK,Cargo and Transport Aircraft
763,Curtiss C-46A-60-CS,Cargo and Transport Aircraft
764,Curtiss C-46C,Cargo and Transport Aircraft
765,Curtiss C-46D,Cargo and Transport Aircraft
766,Curtiss C-46D-10,Cargo and Transport Aircraft
767,Curtiss C-46D-15,Cargo and Transport Aircraft
768,Curtiss C-46D-20,Cargo and Transport Aircraft
769,Curtiss C-46D-5,Cargo and Transport Aircraft
770,Curtiss C-46E,Cargo and Transport Aircraft
771,Curtiss C-46E-1-CS,Cargo and Transport Aircraft
772,Curtiss C-46F,Cargo and Transport Aircraft
773,Curtiss C-46T,Cargo and Transport Aircraft
774,Curtiss C-47,Cargo and Transport Aircraft
775,Curtiss Carrier Pigeon,Civilian Passenger Aircraft
776,Curtiss Condor 18,Civilian Passenger Aircraft
777,Curtiss Condor T-32,Civilian Passenger Aircraft
778,Curtiss JN-4H,Vintage Aircraft
779,Curtiss R-4LM,Helicopters
780,Curtiss seaplane,Airships
781,Curtiss-Wright C-14 Osprey,General Aviation and Private Aircraft
782,Curtiss-Wright C-46,Cargo and Transport Aircraft
783,Curtiss-Wright C-46A-CK,Cargo and Transport Aircraft
784,Curtiss-Wright C-46D,Cargo and Transport Aircraft
785,Curtiss-Wright C-46F,Cargo and Transport Aircraft
786,Curtiss-Wright R5C-1,Cargo and Transport Aircraft
787,Dassault Breguet Atlantique,Military Fighter Aircraft
788,Dassault Falcon 20,Civilian Passenger Aircraft
789,Dassault Falcon 20C,Civilian Passenger Aircraft
790,Dassault Falcon 20E,Civilian Passenger Aircraft
791,Dassault Falcon 50,Civilian Passenger Aircraft
792,Dassault Falcon 900B,Civilian Passenger Aircraft
794,De Havilland Dove,Civilian Passenger Aircraft
795,Desoutter II,Civilian Passenger Aircraft
796,Dewoitine D-332,Civilian Passenger Aircraft
797,Dewoitine D-333,Civilian Passenger Aircraft
798,Dewoitine D-338,Civilian Passenger Aircraft
799,Dewoitine D-342,Civilian Passenger Aircraft
800,Dirigible,Airships
801,Dirigible FD Type,Airships
802,Dirigible Roma (airship),Airships
803,Dirigible ZR-1 Shenandoah (airship),Airships
804,Domier Delphin III (flying boat),Vintage Aircraft
805,Dormier Do-J-Iif Bos Wal flying boat,Vintage Aircraft
806,Dornier 18 (float plane),Vintage Aircraft
807,Dornier 228,Civilian Passenger Aircraft
808,Dornier 228-101,Civilian Passenger Aircraft
809,Dornier 228-201,Civilian Passenger Aircraft
810,Dornier 228-202,Civilian Passenger Aircraft
811,Dornier 228-212,Civilian Passenger Aircraft
812,Dornier 288-201,Military Fighter Aircraft
813,Dornier 328-110,Civilian Passenger Aircraft
814,Dornier Merkur,Civilian Passenger Aircraft
815,Dornier Wal,Vintage Aircraft
816,Douglas A-26B Invader,Military Fighter Aircraft
817,Douglas A-3D Skywarrior,Military Fighter Aircraft
818,Douglas C-118A,Cargo and Transport Aircraft
819,Douglas C-118B,Cargo and Transport Aircraft
820,Douglas C-124-DL,Cargo and Transport Aircraft
821,Douglas C-124A,Cargo and Transport Aircraft
822,Douglas C-124A-DL,Cargo and Transport Aircraft
823,Douglas C-124C,Cargo and Transport Aircraft
824,Douglas C-133A,Cargo and Transport Aircraft
825,Douglas C-188B,Cargo and Transport Aircraft
826,Douglas C-39-DO  (DC-2),Cargo and Transport Aircraft
827,Douglas C-46A,Cargo and Transport Aircraft
828,Douglas C-47,Cargo and Transport Aircraft
829,Douglas C-47A,Cargo and Transport Aircraft
830,Douglas C-47B,Cargo and Transport Aircraft
831,Douglas C-47D,Cargo and Transport Aircraft
832,Douglas C-47DL),Cargo and Transport Aircraft
833,Douglas C-47J,Cargo and Transport Aircraft
834,Douglas C-48,Cargo and Transport Aircraft
835,Douglas C-49E,Cargo and Transport Aircraft
836,Douglas C-50A,Cargo and Transport Aircraft
837,Douglas C-53,Cargo and Transport Aircraft
838,Douglas C-53D,Cargo and Transport Aircraft
839,Douglas C-54,Cargo and Transport Aircraft
840,Douglas C-54-DO,Cargo and Transport Aircraft
841,Douglas C-54A,Cargo and Transport Aircraft
842,Douglas C-54B,Cargo and Transport Aircraft
843,Douglas C-54D,Cargo and Transport Aircraft
844,Douglas C-54E,Cargo and Transport Aircraft
845,Douglas C-54G,Cargo and Transport Aircraft
846,Douglas C-54P,Cargo and Transport Aircraft
847,Douglas C-74,Cargo and Transport Aircraft
848,Douglas D-47,General Aviation and Private Aircraft
849,Douglas DC-2,Civilian Passenger Aircraft
850,Douglas DC-2-112,Civilian Passenger Aircraft
851,Douglas DC-2-115A,Civilian Passenger Aircraft
852,Douglas DC-2-115B,Civilian Passenger Aircraft
853,Douglas DC-2-115E,Civilian Passenger Aircraft
854,Douglas DC-2-115H,Civilian Passenger Aircraft
855,Douglas DC-2-115L,Civilian Passenger Aircraft
856,Douglas DC-2-120,Civilian Passenger Aircraft
857,Douglas DC-2-172,Civilian Passenger Aircraft
858,Douglas DC-2-221,Civilian Passenger Aircraft
859,Douglas DC-2-243,Civilian Passenger Aircraft
860,Douglas DC-3,Civilian Passenger Aircraft
861,Douglas DC-3-178,Civilian Passenger Aircraft
862,Douglas DC-3-194H,Civilian Passenger Aircraft
863,Douglas DC-3-201C,Civilian Passenger Aircraft
864,Douglas DC-3-201E,Civilian Passenger Aircraft
865,Douglas DC-3-201F,Civilian Passenger Aircraft
866,Douglas DC-3-227B,Civilian Passenger Aircraft
867,Douglas DC-3-3,Civilian Passenger Aircraft
868,Douglas DC-3-313,Civilian Passenger Aircraft
869,Douglas DC-3-313A,Civilian Passenger Aircraft
870,Douglas DC-3-3A,Civilian Passenger Aircraft
871,Douglas DC-3-455,Civilian Passenger Aircraft
872,Douglas DC-3-65TP,Civilian Passenger Aircraft
873,Douglas DC-3A,Civilian Passenger Aircraft
874,Douglas DC-3A-178,Civilian Passenger Aircraft
875,Douglas DC-3A-197D,Civilian Passenger Aircraft
876,Douglas DC-3A-228D,Civilian Passenger Aircraft
877,Douglas DC-3A-269,Civilian Passenger Aircraft
878,Douglas DC-3C,Civilian Passenger Aircraft
879,Douglas DC-3D,Civilian Passenger Aircraft
880,Douglas DC-3DST,Civilian Passenger Aircraft
881,Douglas DC-3F,Civilian Passenger Aircraft
882,Douglas DC-4,Cargo and Transport Aircraft
883,Douglas DC-4A,Cargo and Transport Aircraft
884,Douglas DC-5,Cargo and Transport Aircraft
885,Douglas DC-6,Cargo and Transport Aircraft
886,Douglas DC-6A,Cargo and Transport Aircraft
887,Douglas DC-6B,Cargo and Transport Aircraft
888,Douglas DC-6BF,Cargo and Transport Aircraft
889,Douglas DC-7,Cargo and Transport Aircraft
890,Douglas DC-7B,Cargo and Transport Aircraft
891,Douglas DC-7C,Cargo and Transport Aircraft
892,Douglas DC-8,Cargo and Transport Aircraft
893,Douglas DC-8-43F,Cargo and Transport Aircraft
894,Douglas DC-8-52,Cargo and Transport Aircraft
895,Douglas DC-8-54F,Cargo and Transport Aircraft
896,Douglas DC-8-55F,Cargo and Transport Aircraft
897,Douglas DC-9-15,Civilian Passenger Aircraft
898,Douglas DC-9-15F,Civilian Passenger Aircraft
899,Douglas DC-9-31,Civilian Passenger Aircraft
900,Douglas DC-9-32,Civilian Passenger Aircraft
901,Douglas DF-151,Cargo and Transport Aircraft
902,Douglas DST-A-207A,Cargo and Transport Aircraft
903,Douglas EC-54U,Military Fighter Aircraft
904,Douglas M-3,Vintage Aircraft
905,Douglas M-4,Vintage Aircraft
906,Douglas MC-54M,Military Fighter Aircraft
907,Douglas R4D-6,Cargo and Transport Aircraft
908,Douglas R5D-2,Cargo and Transport Aircraft
909,Douglas R5D-3,Cargo and Transport Aircraft
910,Douglas VC-47A,Cargo and Transport Aircraft
911,EMB 721C Sertanejo,General Aviation and Private Aircraft
912,Embraer 110,Civilian Passenger Aircraft
913,Embraer 110C,Civilian Passenger Aircraft
914,Embraer 110EJ,Civilian Passenger Aircraft
915,Embraer 110P,Civilian Passenger Aircraft
916,Embraer 110P1,Civilian Passenger Aircraft
917,Embraer 110P2,Civilian Passenger Aircraft
918,Embraer 120,Civilian Passenger Aircraft
919,Embraer 120ER,Civilian Passenger Aircraft
920,Embraer 120RT,Civilian Passenger Aircraft
921,Embraer 190-100LR,Civilian Passenger Aircraft
922,Embraer 190AR,Civilian Passenger Aircraft
923,Embraer 810C,General Aviation and Private Aircraft
924,Embraer 820C,General Aviation and Private Aircraft
925,Embraer C-95,Cargo and Transport Aircraft
926,Embraer EMB-110P1 Bandeirant,Civilian Passenger Aircraft
927,Enstrom F-28F,Helicopters
928,Eurocopter AS332L2 Super Puma,Helicopters
929,Eurocopter AS350B3 Ecureuil,Helicopters
930,Eurocopter BK117C1,Helicopters
931,Eurocopter EC 130B4,Helicopters
932,Eurocopter EC 135T2,Helicopters
933,Eurocopter EC 225LP,Helicopters
934,F-4C Phantom jet fighter,Military Fighter Aircraft
935,F-86 Sabrejet,Military Fighter Aircraft
936,F-88 Sabre Jet,Military Fighter Aircraft
937,FIAT G-212CP,General Aviation and Private Aircraft
938,Fairchild,Civilian Passenger Aircraft
939,Fairchild 51,General Aviation and Private Aircraft
940,Fairchild 71,General Aviation and Private Aircraft
941,Fairchild C-110F,Cargo and Transport Aircraft
942,Fairchild C-119,Cargo and Transport Aircraft
943,Fairchild C-119C,Cargo and Transport Aircraft
944,Fairchild C-119G,Cargo and Transport Aircraft
945,Fairchild C-123,Cargo and Transport Aircraft
946,Fairchild C-123B,Cargo and Transport Aircraft
947,Fairchild C-123C,Cargo and Transport Aircraft
948,Fairchild C-123K,Cargo and Transport Aircraft
949,Fairchild C-199G,Cargo and Transport Aircraft
950,Fairchild C-82,Cargo and Transport Aircraft
951,Fairchild C-82A,Cargo and Transport Aircraft
952,Fairchild F-27,Civilian Passenger Aircraft
953,Fairchild F-27A,Civilian Passenger Aircraft
954,Fairchild F-27B,Civilian Passenger Aircraft
955,Fairchild F-27J,Civilian Passenger Aircraft
956,Fairchild F-27M,Civilian Passenger Aircraft
957,Fairchild FC-2,General Aviation and Private Aircraft
958,Fairchild FC-2W,General Aviation and Private Aircraft
959,Fairchild FH-227B,Civilian Passenger Aircraft
960,Fairchild FH-227C,Civilian Passenger Aircraft
961,Fairchild FH-227D,Civilian Passenger Aircraft
962,Fairchild FH-227E,Civilian Passenger Aircraft
963,Fairchild FH-227H,Civilian Passenger Aircraft
964,Fairchild FH1100,General Aviation and Private Aircraft
965,Fairchild Pilgrim 100A,General Aviation and Private Aircraft
966,Fairchild R4Q,Cargo and Transport Aircraft
967,Fairchild SA227-TT,Civilian Passenger Aircraft
968,Fairey Firefly MK1,Military Fighter Aircraft
969,Farman F-121,Vintage Aircraft
970,Farman F-190,Vintage Aircraft
971,Farman F-224,Vintage Aircraft
972,Farman F-300,Vintage Aircraft
973,Farman F-301,Vintage Aircraft
974,Farman F-306,Vintage Aircraft
975,Farman F-40,Vintage Aircraft
976,Farman F-60,Vintage Aircraft
977,Farman F-63,Vintage Aircraft
978,Faucett F-19,Civilian Passenger Aircraft
979,Fletcher FU-24-954,General Aviation and Private Aircraft
980,Focke-Wulf A-17,Military Fighter Aircraft
981,Focke-Wulf FW 200,Civilian Passenger Aircraft
982,Fokker F-10,Civilian Passenger Aircraft
983,Fokker F-10A,Civilian Passenger Aircraft
984,Fokker F-12,Civilian Passenger Aircraft
985,Fokker F-27 Friendship 100,Civilian Passenger Aircraft
986,Fokker F-27 Friendship 200,Civilian Passenger Aircraft
987,Fokker F-27 Friendship 300,Civilian Passenger Aircraft
988,Fokker F-27 Friendship 400,Civilian Passenger Aircraft
989,Fokker F-27 Friendship 500,Civilian Passenger Aircraft
990,Fokker F-27 Friendship 600,Civilian Passenger Aircraft
991,Fokker F-28 Fellowship 1000,Civilian Passenger Aircraft
992,Fokker F-28 Fellowship 2000,Civilian Passenger Aircraft
993,Fokker F-28 Fellowship 3000,Civilian Passenger Aircraft
994,Fokker F-28 Fellowship 4000,Civilian Passenger Aircraft
995,Fokker F-50,Civilian Passenger Aircraft
996,Fokker F-II,Civilian Passenger Aircraft
997,Fokker F-III,Civilian Passenger Aircraft
998,Fokker F-VII,Civilian Passenger Aircraft
999,Fokker F-VIIA,Civilian Passenger Aircraft
1000,Fokker F-VIIB,Civilian Passenger Aircraft
1001,Fokker F-VIII,Civilian Passenger Aircraft
1002,Fokker F-VIIb-3M,Civilian Passenger Aircraft
1003,Fokker F-X,Civilian Passenger Aircraft
1004,Fokker F-XII,Civilian Passenger Aircraft
1005,Fokker F-XXII,Civilian Passenger Aircraft
1006,Fokker Super Universal,Civilian Passenger Aircraft
1007,Fokker Universal,Civilian Passenger Aircraft
1008,Ford 4,Civilian Passenger Aircraft
1009,Ford 4-AT-B,Civilian Passenger Aircraft
1010,Ford 4-AT-E,Civilian Passenger Aircraft
1011,Ford 5,Civilian Passenger Aircraft
1012,Ford 5-AT,Civilian Passenger Aircraft
1013,Ford 5-AT-B,Civilian Passenger Aircraft
1014,Ford 5-AT-C,Civilian Passenger Aircraft
1015,Ford 5-AT-D,Civilian Passenger Aircraft
1016,GAF Nomad N-22,Civilian Passenger Aircraft
1017,GAF Nomad N-22B,Civilian Passenger Aircraft
1018,GAF Nomad N-22C,Civilian Passenger Aircraft
1019,GAF Nomad N-24A,Civilian Passenger Aircraft
1020,GVF PS-84,Civilian Passenger Aircraft
1021,Gates Learjet 23,General Aviation and Private Aircraft
1022,Gates Learjet 24B,General Aviation and Private Aircraft
1023,Gates Learjet 25B,General Aviation and Private Aircraft
1024,Gates Learjet 35,General Aviation and Private Aircraft
1025,Gates Learjet 35A,General Aviation and Private Aircraft
1026,Gates Learjet 45,General Aviation and Private Aircraft
1027,General 102-E,General Aviation and Private Aircraft
1028,General Aviation GA-43,General Aviation and Private Aircraft
1029,Goodyear U.S.S. Akron (airship),Airships
1030,Goodyear U.S.S. Macon (airship),Airships
1031,Goodyear ZPG-3W (airship),Airships
1032,Grazhdansky Vozdushnyi Flot PS-84,Civilian Passenger Aircraft
1033,Grumman C-2A,Cargo and Transport Aircraft
1034,Grumman G-159,Civilian Passenger Aircraft
1035,Grumman G-2,Civilian Passenger Aircraft
1036,Grumman G-21,Civilian Passenger Aircraft
1037,Grumman G-21A,Civilian Passenger Aircraft
1038,Grumman G-3,Civilian Passenger Aircraft
1039,Grumman G-73,Civilian Passenger Aircraft
1040,Grumman G-73T,Civilian Passenger Aircraft
1041,Grumman TBM Avengers,Military Fighter Aircraft
1042,Grummand EA-6B,Military Fighter Aircraft
1043,Grummand G-3,Civilian Passenger Aircraft
1044,H-21B,Helicopters
1045,HAL-748-224,Civilian Passenger Aircraft
1046,HESA Iran-140-100,Civilian Passenger Aircraft
1047,HS-125-700B,Civilian Passenger Aircraft
1048,Hamilton H-47,Civilian Passenger Aircraft
1049,Handley Page Dart Herald 201,Civilian Passenger Aircraft
1050,Handley Page Dart Herald 202,Civilian Passenger Aircraft
1051,Handley Page Dart Herald 207,Civilian Passenger Aircraft
1052,Handley Page HP-1 Hermes,Civilian Passenger Aircraft
1053,Handley Page HP-16,Civilian Passenger Aircraft
1054,Handley Page HP-42,Civilian Passenger Aircraft
1055,Handley Page HP-57 Halifax,Military Fighter Aircraft
1056,Handley Page HP-81 Hermes 4A,Civilian Passenger Aircraft
1057,Handley Page HP-81 Hermes IV,Civilian Passenger Aircraft
1058,Handley Page HPR-7 Herald 101,Civilian Passenger Aircraft
1059,Handley Page HPR-7 Herald 211,Civilian Passenger Aircraft
1060,Handley Page HPR-7 Herald 214,Civilian Passenger Aircraft
1061,Handley Page Halifax C-8,Military Fighter Aircraft
1062,Handley Page Hastings C Mark 1,Military Fighter Aircraft
1063,Handley Page Hastings C-2,Military Fighter Aircraft
1064,Handley Page Jetstream 1,Civilian Passenger Aircraft
1065,Handley Page O/10,Military Fighter Aircraft
1066,Handley Page W-10,Military Fighter Aircraft
1067,Handley Page W-8,Military Fighter Aircraft
